dataset,model,n_samples,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CIDEr
coco,blip1,400,0.650971002926137,0.4923381306140087,0.3642833228602358,0.264621683274184,0.9447187473488747
coco,blip2,400,0.6799246540784353,0.5128879894776502,0.3782935992699691,0.2702128046107148,0.884110042958339
coco,gpt4v,400,0.15806020592626904,0.08641418462036753,0.04418401349873024,0.022881123245664232,3.0556304676209632e-24
flickr30k,blip1,300,0.5937332619173558,0.4029288278886123,0.2780579149565146,0.18752034182625724,0.5926924693163697
flickr30k,blip2,300,0.6189512640521063,0.43174780218185893,0.3034007649511078,0.21282107443206125,0.6091546233984637
flickr30k,gpt4v,300,0.17571935356719842,0.09856307553116551,0.05192664149472682,0.02797242562402457,9.185509710650759e-13
vizwiz,blip1,400,0.045005202913619924,0.022817940000174224,0.009292816086552635,0.004063273494449585,0.05639478191919565
vizwiz,blip2,400,0.06520890277232909,0.03222214261845172,0.016179822074549696,0.010049695332063577,0.13767596944968244
vizwiz,gpt4v,400,0.009149688910576667,0.004071053459440285,0.0020238679301496387,0.0012934905943819495,1.9234217234337538e-25
